,agua_verde,jardim_das_americas
area,4772117.345744418,3875653.1109617166
perimeter,9773.680579699165,8847.390687524767
roads_length,95073.31581391301,64602.72205737805
blocks_count,278.0,190.0
blocks_mean,17032.18576344276,19857.52763266814
blocks_std,12773.152384981468,55660.15468162488
blocks_min,189.98117270510608,190.75003425715195
blocks_25%,11067.9611818505,10658.184700846057
blocks_50%,16748.61963297429,13718.10855066717
blocks_75%,18974.181842678954,18342.514881327425
blocks_max,121461.18057695555,746251.9226028348
sidewalks_length,137281.61512038656,95711.43600801806
